source_id,target_id,type,strength,reason,created_at
mem_agent_000_0097,mem_agent_000_0051,follows,0.91,Supporting evidence,2026-05-14T22:08:31.698258
mem_agent_000_0052,mem_agent_000_0070,supports,0.01,,2026-05-14T22:08:31.698258
mem_agent_000_0091,mem_agent_000_0048,follows,0.31,,2026-05-14T22:08:31.698258
mem_agent_000_0099,mem_agent_000_0063,supports,0.39,,2026-05-14T22:08:31.698258
mem_agent_000_0084,mem_agent_000_0076,supports,0.57,Supporting evidence,2026-05-14T22:08:31.698258
mem_agent_000_0038,mem_agent_000_0025,elaborates,0.87,Sequential reasoning,2026-05-14T22:08:31.698258
mem_agent_000_0043,mem_agent_000_0019,supersedes,0.29,Semantic similarity,2026-05-14T22:08:31.698258
mem_agent_000_0057,mem_agent_000_0038,follows,0.0,Causal relationship,2026-05-14T22:08:31.698258
mem_agent_000_0061,mem_agent_000_0041,follows,0.51,Semantic similarity,2026-05-14T22:08:31.698258
mem_agent_000_0050,mem_agent_000_0039,supersedes,0.69,Supporting evidence,2026-05-14T22:08:31.698258
mem_agent_000_0056,mem_agent_000_0041,supports,0.92,Causal relationship,2026-05-14T22:08:31.698258
mem_agent_000_0033,mem_agent_000_0038,elaborates,0.99,Sequential reasoning,2026-05-14T22:08:31.698258
mem_agent_000_0031,mem_agent_000_0000,elaborates,0.05,,2026-05-14T22:08:31.698258
mem_agent_000_0073,mem_agent_000_0077,elaborates,0.64,Supporting evidence,2026-05-14T22:08:31.698258
mem_agent_000_0024,mem_agent_000_0006,supersedes,0.04,Semantic similarity,2026-05-14T22:08:31.698258
mem_agent_000_0002,mem_agent_000_0036,follows,0.67,,2026-05-14T22:08:31.698258
mem_agent_000_0062,mem_agent_000_0005,elaborates,0.82,Supporting evidence,2026-05-14T22:08:31.698258
mem_agent_000_0082,mem_agent_000_0053,supersedes,0.99,,2026-05-14T22:08:31.698258
mem_agent_000_0020,mem_agent_000_0021,supports,0.67,Supporting evidence,2026-05-14T22:08:31.698258
