id,agent_id,content,memory_type,importance,created_at
mem_agent_000_0000,agent_000,Memory relationships show clustering patterns,observation,0.88,2026-05-16T22:08:31.695262
mem_agent_000_0001,agent_000,Memory relationships show clustering patterns (variant 3),observation,0.92,2026-05-26T22:08:31.695262
mem_agent_000_0002,agent_000,Chose to implement incremental updates strategy (variant 3),decision,0.32,2025-12-19T22:08:31.695262
mem_agent_000_0003,agent_000,Explained graph theory concepts and applications (variant 2),interaction,0.92,2026-03-12T22:08:31.695262
mem_agent_000_0004,agent_000,APIs enable communication between different software systems,fact,0.84,2026-02-09T22:08:31.695262
mem_agent_000_0005,agent_000,System performance degrades with poorly indexed queries (variant 2),observation,0.83,2026-01-05T22:08:31.695262
mem_agent_000_0006,agent_000,Recent queries indicate shift in research direction (variant 2),observation,0.71,2025-12-01T22:08:31.695262
mem_agent_000_0007,agent_000,Python is widely used for data science and AI applications,fact,0.45,2026-07-21T22:08:31.695262
mem_agent_000_0008,agent_000,System performance degrades with poorly indexed queries (variant 2),observation,0.55,2025-07-26T22:08:31.695262
mem_agent_000_0009,agent_000,Chose to implement incremental updates strategy (variant 2),decision,0.39,2026-02-05T22:08:31.695262
mem_agent_000_0010,agent_000,Machine learning requires large labeled datasets for training (variant 3),fact,0.78,2025-12-24T22:08:31.695262
mem_agent_000_0011,agent_000,Query latency increased significantly with graph growth,observation,0.85,2026-06-08T22:08:31.695262
mem_agent_000_0012,agent_000,Decided on REST API for system integration (variant 3),decision,0.49,2026-02-20T22:08:31.695262
mem_agent_000_0013,agent_000,User frequently asks about performance optimization (variant 2),observation,0.79,2026-04-15T22:08:31.695262
mem_agent_000_0014,agent_000,Python is widely used for data science and AI applications (variant 2),fact,0.71,2025-07-31T22:08:31.695262
mem_agent_000_0015,agent_000,Python is widely used for data science and AI applications (variant 3),fact,0.56,2026-04-03T22:08:31.695262
mem_agent_000_0016,agent_000,Query latency increased significantly with graph growth,observation,0.64,2026-02-04T22:08:31.695262
mem_agent_000_0017,agent_000,Decided on REST API for system integration,decision,0.71,2026-06-07T22:08:31.695262
mem_agent_000_0018,agent_000,System performance degrades with poorly indexed queries (variant 3),observation,0.59,2026-02-09T22:08:31.695262
mem_agent_000_0019,agent_000,Query latency increased significantly with graph growth,observation,0.85,2026-03-29T22:08:31.695262
mem_agent_000_0020,agent_000,"Neo4j uses property graphs with nodes, edges, and properties (variant 2)",fact,0.32,2025-10-27T22:08:31.695262
mem_agent_000_0021,agent_000,Version control systems track changes in source code (variant 3),fact,0.89,2025-10-01T22:08:31.695262
mem_agent_000_0022,agent_000,Version control systems track changes in source code (variant 2),fact,0.79,2025-10-29T22:08:31.695262
mem_agent_000_0023,agent_000,User likes code examples and demonstrations (variant 3),preference,0.59,2025-08-30T22:08:31.695262
mem_agent_000_0024,agent_000,Decided on REST API for system integration (variant 3),decision,0.42,2025-09-10T22:08:31.695262
mem_agent_000_0025,agent_000,Query latency increased significantly with graph growth (variant 3),observation,0.76,2026-07-18T22:08:31.695262
mem_agent_000_0026,agent_000,Decided to prioritize data quality over quantity (variant 3),decision,0.99,2026-02-27T22:08:31.695262
mem_agent_000_0027,agent_000,Machine learning requires large labeled datasets for training (variant 2),fact,0.67,2026-05-22T22:08:31.695262
mem_agent_000_0028,agent_000,Machine learning requires large labeled datasets for training (variant 3),fact,0.66,2026-01-26T22:08:31.695262
mem_agent_000_0029,agent_000,Decided on REST API for system integration (variant 3),decision,0.55,2026-07-20T22:08:31.695262
mem_agent_000_0030,agent_000,User frequently asks about performance optimization,observation,0.54,2026-01-07T22:08:31.695262
mem_agent_000_0031,agent_000,Chose to implement incremental updates strategy (variant 2),decision,0.35,2025-07-30T22:08:31.695262
mem_agent_000_0032,agent_000,Recent queries indicate shift in research direction,observation,0.57,2026-03-01T22:08:31.695262
mem_agent_000_0033,agent_000,APIs enable communication between different software systems (variant 3),fact,0.86,2026-04-26T22:08:31.695262
mem_agent_000_0034,agent_000,Chose Neo4j for graph-based data representation (variant 3),decision,0.93,2026-06-29T22:08:31.695262
mem_agent_000_0035,agent_000,Decided on REST API for system integration (variant 3),decision,0.72,2025-07-31T22:08:31.695262
mem_agent_000_0036,agent_000,Query latency increased significantly with graph growth,observation,0.41,2026-04-10T22:08:31.695262
mem_agent_000_0037,agent_000,User frequently asks about performance optimization (variant 3),observation,0.44,2026-04-07T22:08:31.695262
mem_agent_000_0038,agent_000,Recent queries indicate shift in research direction (variant 2),observation,0.6,2026-05-30T22:08:31.695262
mem_agent_000_0039,agent_000,Query latency increased significantly with graph growth (variant 2),observation,0.68,2026-04-08T22:08:31.695262
mem_agent_000_0040,agent_000,APIs enable communication between different software systems (variant 2),fact,0.6,2026-05-11T22:08:31.695262
mem_agent_000_0041,agent_000,Decided on REST API for system integration,decision,0.93,2026-02-23T22:08:31.695262
mem_agent_000_0042,agent_000,Memory relationships show clustering patterns,observation,0.95,2026-01-14T22:08:31.695262
mem_agent_000_0043,agent_000,Machine learning requires large labeled datasets for training (variant 3),fact,0.79,2025-08-06T22:08:31.695262
mem_agent_000_0044,agent_000,Memory relationships show clustering patterns (variant 3),observation,0.48,2025-09-12T22:08:31.695262
mem_agent_000_0045,agent_000,Python is widely used for data science and AI applications,fact,0.75,2025-11-07T22:08:31.695262
mem_agent_000_0046,agent_000,Python is widely used for data science and AI applications (variant 2),fact,0.73,2026-04-05T22:08:31.695262
mem_agent_000_0047,agent_000,Chose to implement incremental updates strategy (variant 2),decision,0.97,2026-01-12T22:08:31.695262
mem_agent_000_0048,agent_000,Chose to implement incremental updates strategy (variant 2),decision,0.62,2025-12-08T22:08:31.695262
